                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4758,                 21.089,                 3.4364,                0.83516,                0.00357,                0.00153,                0.00053,                 3.1436,                 4.5028,                 2.0721,              0.0033253,              0.0033253,              0.0033253
                      2,                 2.3677,                 6.3552,                 1.5866,                0.29849,                0.02508,                0.01891,                0.01097,                 1.9081,                 3.3045,                 1.3053,              0.0066366,              0.0066366,              0.0066366
                      3,                 1.8176,                 4.2208,                 1.2283,                0.36274,                0.07653,                0.04087,                0.02545,                  1.504,                 2.7234,                 1.1164,               0.009926,               0.009926,               0.009926
                      4,                 1.5454,                 2.9942,                 1.0917,                0.50075,                0.12365,                0.10404,                0.06889,                 1.2993,                 2.0622,                 1.0071,               0.009901,               0.009901,               0.009901
                      5,                 1.3699,                 2.2312,                 1.0306,                0.41665,                0.23449,                0.17516,                0.11796,                 1.2256,                 1.7375,                0.98202,               0.009901,               0.009901,               0.009901
                      6,                 1.2589,                 1.8362,                0.98252,                0.49888,                0.28552,                0.27831,                 0.1931,                 1.0765,                 1.4021,                0.94325,               0.009868,               0.009868,               0.009868
                      7,                 1.1825,                 1.5928,                0.96246,                0.51145,                0.31767,                0.30003,                0.21223,                 1.0153,                 1.3013,                0.91762,               0.009835,               0.009835,               0.009835
                      8,                 1.1189,                 1.4463,                 0.9415,                0.45963,                0.38062,                0.34116,                0.24719,                 1.0031,                 1.1818,                0.91501,               0.009802,               0.009802,               0.009802
                      9,                  1.082,                 1.3339,                0.93067,                0.53009,                0.43145,                0.40951,                0.30404,                0.94261,                 1.0742,                0.89751,               0.009769,               0.009769,               0.009769
                     10,                 1.0512,                 1.2456,                0.92106,                0.65052,                0.38596,                0.42678,                0.31506,                0.95156,                 1.0305,                0.89705,               0.009736,               0.009736,               0.009736
                     11,                 1.0263,                 1.1814,                0.91725,                0.53699,                 0.4957,                0.46666,                0.34734,                0.93657,                0.98784,                0.89155,               0.009703,               0.009703,               0.009703
                     12,                0.99494,                 1.1264,                0.90649,                0.65643,                0.42764,                0.50483,                0.38592,                0.88231,                0.89092,                0.87796,                0.00967,                0.00967,                0.00967
                     13,                0.98128,                 1.0636,                0.90349,                0.60891,                0.47909,                0.50856,                0.38341,                 0.8913,                0.86391,                0.88075,               0.009637,               0.009637,               0.009637
                     14,                0.96622,                 1.0214,                0.89542,                 0.7507,                0.50499,                0.59172,                0.44639,                0.87118,                0.79848,                0.87428,               0.009604,               0.009604,               0.009604
                     15,                0.94975,                0.97152,                0.89437,                0.65303,                0.57534,                0.63118,                0.48193,                 0.8474,                 0.7548,                0.87006,               0.009571,               0.009571,               0.009571
                     16,                0.92498,                0.92607,                0.89178,                0.69647,                0.55709,                0.64046,                0.49387,                0.83439,                0.75468,                0.86781,               0.009538,               0.009538,               0.009538
                     17,                0.92663,                0.89499,                0.88681,                0.74109,                0.62249,                0.68798,                0.53347,                0.80708,                0.68606,                0.86053,               0.009505,               0.009505,               0.009505
